date,pair,trade_direction,z_score,innovation,beta,days_held,reason
2024-07-23,SS-ZN,LONG,-2.181562332016043,-1021.2636788424206,1.711496392160583,1,z_threshold
2024-08-02,SM-SF,SHORT,2.022451300281324,902.8431889168688,0.8985990039399318,1,z_threshold
2024-08-09,CU-SN,SHORT,2.367332407169196,15603.095359422878,3.3702438465931763,1,z_threshold
2024-08-12,SS-ZN,CLOSE,-0.1180153193142048,-110.3116400018007,1.686263495060915,0,z_threshold
2024-09-04,CU-SN,CLOSE,0.3250880368158113,3297.850043622573,3.4085322753299523,0,z_threshold
2024-09-13,SM-SF,CLOSE,1.0940821964896676,672.509432264339,0.9243079486109664,0,force_close
2024-09-26,SS-ZN,SHORT,2.048411518084808,1753.799329043828,1.708256447896922,1,z_threshold
2024-10-21,AG-PB,LONG,-2.11545153207851,-2438.8571566496103,2.291829069039584,1,z_threshold
2024-10-22,AG-SS,LONG,-2.07385051688084,-1447.6942753887852,1.8058379931118869,1,z_threshold
2024-11-06,AG-SS,CLOSE,-0.4235434843306294,-358.4253086551471,1.7781717220977935,0,z_threshold
2024-11-07,AL-CU,LONG,-2.329135636631304,-3969.83622023424,3.756088663195628,1,z_threshold
2024-11-07,AG-PB,CLOSE,-0.3515223551134823,-522.269841139725,2.256567225780055,0,z_threshold
2024-11-14,SS-ZN,CLOSE,0.8256090804012065,994.0487638615924,1.7487940257318948,0,force_close
2024-11-27,CU-SN,LONG,-2.243038299670113,-14949.39355485083,3.378396643359993,1,z_threshold
2024-11-27,SS-ZN,SHORT,2.091550798243796,2729.7470805134253,1.7694601142829802,1,z_threshold
2024-12-06,AL-CU,CLOSE,-0.4436741465638235,-1087.20074087182,3.728192278184601,0,z_threshold
2024-12-12,CU-SN,CLOSE,-0.3432327037295734,-2630.782614933356,3.36731726815113,0,z_threshold
2025-01-08,SS-ZN,CLOSE,0.3382391361272598,602.569744932458,1.812358958057664,0,z_threshold
2025-02-05,AG-SF,LONG,-2.185492929409454,-384.80711178949787,0.8202601130339225,1,z_threshold
2025-02-05,AG-ZN,LONG,-3.0297679081684654,-2668.7447894513134,3.185874419267108,1,z_threshold
2025-02-05,AG-AL,LONG,-2.558843889628573,-1024.737715139894,2.6158046739390164,1,z_threshold
2025-02-06,AG-SM,SHORT,2.109923118796778,637.7110978716037,0.8236333532264338,1,z_threshold
2025-02-06,SM-PB,LONG,-2.2869062033462906,-2281.2136511308017,2.6567744876663357,1,z_threshold
2025-02-06,RB-SM,SHORT,2.948879084745587,781.2615732682443,1.931711059498464,1,z_threshold
2025-02-06,HC-SM,SHORT,3.032742245986419,862.3467432388334,1.8546312766545647,1,z_threshold
2025-02-07,AG-SF,CLOSE,-0.4355895468203356,-82.1424020856175,0.8192337887487249,0,z_threshold
2025-02-11,AG-SM,CLOSE,0.1399826646090505,48.55826654687371,0.8259817472255183,0,z_threshold
2025-02-11,SM-PB,CLOSE,-0.4079311816888556,-478.58478458091486,2.648982266613382,0,z_threshold
2025-02-11,AG-AL,CLOSE,-0.3332031938445079,-152.9810294660092,2.6105485054769324,0,z_threshold
2025-02-12,RB-SM,CLOSE,0.1472503558022857,52.21945284847152,1.9378804349958203,0,z_threshold
2025-02-12,HC-SM,CLOSE,0.2206277815870805,85.23108204477285,1.860093047983409,0,z_threshold
2025-02-14,AG-SF,LONG,-2.5614224723344448,-488.8725372154922,0.814464021080248,1,z_threshold
2025-02-14,RB-AG,SHORT,2.7094963398953533,600.9838101618743,2.3477899825368675,1,z_threshold
2025-02-20,RB-SF,LONG,-2.059359845560825,-228.7805702791584,1.919178812487622,1,z_threshold
2025-02-26,RB-AG,CLOSE,0.162169101102857,41.41967913597273,2.3556950236591785,0,z_threshold
2025-03-04,SF-SS,SHORT,2.0264095292999125,547.445924855383,2.0872684907385284,1,z_threshold
2025-03-05,AU-I,LONG,-2.263612051165571,-79.68727868253586,1.2259092167059256,1,z_threshold
2025-03-07,RB-SS,SHORT,2.120669706280041,455.47437449794415,3.97599988543569,1,z_threshold
2025-03-10,SF-AL,SHORT,2.0138511200009384,1550.1939462574228,3.2200908319685864,1,z_threshold
2025-03-10,HC-SS,SHORT,2.212484854168479,596.067993918854,3.861280557340514,1,z_threshold
2025-03-14,AL-CU,SHORT,2.2359679175041456,1880.095999675512,3.7384916081829216,1,z_threshold
2025-03-14,RB-AG,SHORT,2.1588065647659964,605.7291701302211,2.368571491996738,1,z_threshold
2025-03-14,CU-SN,SHORT,4.673560411851991,18683.878284456267,3.357186453042252,1,z_threshold
2025-03-14,AG-AL,LONG,-2.239952988411844,-812.1659764665565,2.5956680123058904,1,z_threshold
2025-03-17,AG-SM,LONG,-2.078610173938932,-613.4137064824345,0.8138631256845342,1,z_threshold
2025-03-19,AG-ZN,CLOSE,-1.5481950980058468,-2491.949344725599,3.1419855429056875,0,force_close
2025-03-24,CU-SN,CLOSE,0.3369438926966985,2194.9603760052705,3.363210188287193,0,z_threshold
2025-03-28,AG-SF,CLOSE,-1.7122106679610023,-814.0680728558318,0.7980369625401746,0,force_close
2025-03-31,CU-SN,SHORT,2.050803306402378,13413.212022477004,3.3669119867396238,1,z_threshold
2025-04-03,RB-SF,CLOSE,-0.9155181170669748,-150.65248645347674,1.9041494072584413,0,force_close
2025-04-07,AG-SM,CLOSE,-0.2203384209102203,-105.46519284057376,0.8049230485217743,0,z_threshold
2025-04-07,RB-AG,CLOSE,0.3898608822349877,210.96660524108484,2.3820636957220054,0,z_threshold
2025-04-07,AG-AL,CLOSE,-0.0632258888739739,-48.08137570090548,2.57736024784549,0,z_threshold
2025-04-07,AL-CU,CLOSE,-0.1529452978645044,-339.708725780627,3.7568440800400182,0,z_threshold
2025-04-08,SF-AL,CLOSE,0.367905203831857,412.9852138474416,3.2390560382407423,0,z_threshold
2025-04-09,SF-SS,CLOSE,0.3563983047597308,281.18529978161314,2.0984361660690563,0,z_threshold
2025-04-10,HC-SS,CLOSE,0.2670811931716718,102.72857321439552,3.896015941554038,0,z_threshold
2025-04-10,CU-SN,CLOSE,0.3176427121957876,3585.9828120968014,3.3732221685303725,0,z_threshold
2025-04-16,AG-AL,LONG,-2.105204795145124,-1716.5667135194235,2.5729892318179526,1,z_threshold
2025-04-17,AU-I,CLOSE,-1.9107193009818209,-239.66780455552865,1.2083070272996348,0,force_close
2025-04-21,RB-SS,CLOSE,0.8036892104600536,419.2610000000004,4.0,0,force_close
2025-05-06,RB-SF,LONG,-2.448948464664959,-395.44393812224007,1.898302470057108,1,z_threshold
2025-05-06,HC-SM,LONG,-2.102716381345047,-349.63017168448005,1.8432888212746747,1,z_threshold
2025-05-06,RB-SM,LONG,-2.262147932915564,-359.30172626864714,1.917158762515652,1,z_threshold
2025-05-09,HC-SM,CLOSE,-0.3552266621855697,-65.58578351921824,1.840524052573337,0,z_threshold
2025-05-09,RB-SM,CLOSE,-0.2484414026202403,-44.625990781074506,1.9146179862897168,0,z_threshold
2025-05-15,AG-AL,CLOSE,-0.3706214665152501,-427.7853122751149,2.564812780965132,0,z_threshold
2025-05-22,SM-SF,LONG,-2.0306657756624134,-232.23835275569309,0.96892994995675,1,z_threshold
2025-05-26,SM-SF,CLOSE,-0.2225385240645076,-26.58945960381334,0.9685087421743642,0,z_threshold
2025-06-06,AG-SS,LONG,-2.274639445511997,-1939.424264405176,1.649582628859363,1,z_threshold
2025-06-06,AG-AL,LONG,-2.258984260980548,-2718.289027202405,2.5589812393220788,1,z_threshold
2025-06-06,AG-PB,LONG,-2.4065073780156228,-2061.3320380144905,2.1218507375922973,1,z_threshold
2025-06-10,PB-SS,LONG,-2.8065877739536185,-500.1132504222678,0.7671559466343687,1,z_threshold
2025-06-18,RB-SF,CLOSE,-1.032284275622894,-326.56585351812555,1.888719422052596,0,force_close
2025-06-18,PB-AL,SHORT,2.015368628833778,522.9287988808828,1.186424565023889,1,z_threshold
2025-06-24,PB-AL,CLOSE,0.4228684725952283,117.25133115424978,1.187606778952415,0,z_threshold
2025-07-17,PB-SS,CLOSE,-0.2851512320528516,-105.81629896613958,0.7623197151536126,0,z_threshold
2025-07-18,AG-PB,CLOSE,-1.638986273431825,-2669.813801873064,2.1011523797759653,0,force_close
2025-07-18,AG-AL,CLOSE,-1.456088280444799,-3169.5968958180965,2.548852385477512,0,force_close
2025-07-18,AG-SS,CLOSE,-1.3649309253373998,-2446.5838874262845,1.6364675389826218,0,force_close
2025-07-21,PB-AL,SHORT,2.404253059066511,591.9204406980061,1.1912767059983638,1,z_threshold
2025-07-22,HC-SS,LONG,-2.434227922137489,-761.0802632801388,3.936223427521334,1,z_threshold
2025-08-20,HC-SM,LONG,-2.046656484028734,-299.0943790652809,1.7983890255828836,1,z_threshold
