交易ID,配对,品种X,品种Y,入场日期,出场日期,持仓天数（交易日）,入场动作,退出动作,信号类型,Beta系数,入场Z_Score,出场Z_Score,入场价格_X,入场价格_Y,出场价格_X,出场价格_Y,手数_X,手数_Y,合约乘数_X,合约乘数_Y,保证金,毛盈亏,手续费,原始净盈亏,原始收益率%,触发止损,止损后净盈亏,止损后收益率%,实际持仓天数,入场价差,出场价差,价差变动
44,CU0-ZN0,CU0,ZN0,2025-04-07,2025-04-08,2,open_short,close_normal,short,0.3020,4.0060,0.0505,73670.0000,22610.0000,73330.0000,22100.0000,7,2,5,5,336546.0000,-6800.0000,1118.4200,-7918.4200,-2.3528,False,-7918.4200,-2.3528,2,383.4587,-32.5327,-415.9914
45,CU0-ZN0,CU0,ZN0,2025-07-09,2025-07-14,4,open_short,close_normal,short,0.2807,2.2059,-0.2630,78430.0000,22105.0000,78370.0000,22265.0000,7,2,5,5,355932.0000,-3700.0000,1186.3400,-4886.3400,-1.3728,False,-4886.3400,-1.3728,4,112.2574,-23.7763,-136.0338
46,PB0-SS0,PB0,SS0,2024-08-06,2024-09-19,31,open_long,close_timeout,long,-0.2973,-2.3345,-1.5520,17200.0000,13915.0000,16555.0000,13445.0000,7,2,5,5,88938.0000,-27275.0000,291.0050,-27566.0050,-30.9946,True,-13340.7000,-15.0000,5,19018.5390,17766.2855,-1252.2535
47,PB0-SS0,PB0,SS0,2025-04-07,2025-05-22,31,open_long,close_timeout,long,-0.0282,-2.8782,-1.1901,16645.0000,12925.0000,16700.0000,12865.0000,1,1,5,5,17742.0000,-25.0000,59.1350,-84.1350,-0.4742,False,-84.1350,-0.4742,31,13379.2867,12824.4572,-554.8295
48,ZN0-SF0,ZN0,SF0,2024-08-05,2024-08-27,17,open_short,close_normal,short,0.3048,3.0576,0.1688,22165.0000,6986.0000,23980.0000,6400.0000,7,2,5,5,101476.2000,69385.0000,349.7870,69035.2130,68.0309,False,69035.2130,68.0309,17,240.5794,-5.8392,-246.4186
49,ZN0-SF0,ZN0,SF0,2024-09-30,2024-10-08,2,open_short,close_normal,short,0.2622,2.3281,0.2105,25135.0000,6788.0000,25270.0000,6638.0000,4,1,5,5,64396.8000,3450.0000,215.0460,3234.9540,5.0235,False,3234.9540,5.0235,2,207.7510,1.4931,-206.2579
50,ZN0-SF0,ZN0,SF0,2024-10-25,2024-10-31,5,open_short,close_normal,short,0.2546,2.3079,0.1514,25045.0000,6578.0000,25260.0000,6566.0000,4,1,5,5,64054.8000,4360.0000,214.3640,4145.6360,6.4720,False,4145.6360,6.4720,5,210.9621,-10.4396,-221.4017
51,ZN0-SF0,ZN0,SF0,2025-01-15,2025-01-21,5,open_short,close_normal,short,0.2696,2.2776,-0.0836,23610.0000,6490.0000,24185.0000,6468.0000,7,2,5,5,106950.0000,20345.0000,360.4810,19984.5190,18.6859,False,19984.5190,18.6859,5,134.8634,-0.9892,-135.8527
52,ZN0-SF0,ZN0,SF0,2025-04-08,2025-04-16,7,open_short,close_normal,short,0.2610,2.5445,-0.1653,22100.0000,5860.0000,21905.0000,5692.0000,4,1,5,5,56556.0000,-3060.0000,187.5720,-3247.5720,-5.7422,False,-3247.5720,-5.7422,7,102.2014,-7.4640,-109.6654
53,ZN0-SF0,ZN0,SF0,2025-05-29,2025-06-06,6,open_long,close_normal,long,0.2378,-3.4235,-0.1822,22480.0000,5232.0000,22400.0000,5098.0000,4,1,5,5,57091.2000,930.0000,189.8500,740.1500,1.2964,False,740.1500,1.2964,6,-122.3680,-14.1258,108.2422
54,ZN0-SF0,ZN0,SF0,2025-06-09,2025-06-11,3,open_short,close_normal,short,0.2327,2.2919,-0.0623,21925.0000,5168.0000,22125.0000,5190.0000,4,1,5,5,55720.8000,3890.0000,186.5580,3703.4420,6.6464,False,3703.4420,6.6464,3,75.9292,-7.4728,-83.4020
55,ZN0-SF0,ZN0,SF0,2025-07-22,2025-07-30,7,open_short,close_normal,short,0.2524,2.3913,-0.0653,22960.0000,5868.0000,22655.0000,6014.0000,4,1,5,5,58624.8000,-6830.0000,194.3420,-7024.3420,-11.9819,False,-7024.3420,-11.9819,7,82.1597,2.6704,-79.4893
56,ZN0-SF0,ZN0,SF0,2025-07-31,2025-08-05,4,open_long,close_normal,long,0.2600,-2.5734,-0.2369,22330.0000,5702.0000,22395.0000,5710.0000,4,1,5,5,57013.2000,-1260.0000,190.3120,-1450.3120,-2.5438,False,-1450.3120,-2.5438,4,-114.1691,-9.9350,104.2341
57,HC0-SM0,HC0,SM0,2024-12-26,2025-02-17,31,open_long,close_timeout,long,1.4768,-2.2967,-1.0064,3425.0000,6116.0000,3409.0000,6392.0000,2,3,10,5,19228.8000,4460.0000,64.8600,4395.1400,22.8571,False,4395.1400,22.8571,31,1047.6483,1077.2756,29.6273
58,HC0-SM0,HC0,SM0,2025-07-22,2025-08-14,18,open_long,close_normal,long,1.7341,-2.3197,-0.2048,3474.0000,6018.0000,3435.0000,6138.0000,3,5,10,5,30560.4000,4170.0000,102.2340,4067.7660,13.3106,False,4067.7660,13.3106,18,-17.3235,159.5720,176.8955
59,HC0-SS0,HC0,SS0,2024-07-31,2024-09-02,24,open_short,close_normal,short,1.8347,2.3783,-0.0037,3482.0000,14065.0000,3282.0000,13570.0000,1,2,10,5,21056.4000,2950.0000,68.7980,2881.2020,13.6833,False,2881.2020,13.6833,24,7697.0625,7472.4504,-224.6121
60,HC0-SS0,HC0,SS0,2024-10-23,2024-12-04,31,open_long,close_timeout,long,1.8756,-2.2127,-1.9794,3473.0000,13520.0000,3528.0000,13005.0000,1,2,10,5,20391.6000,-5700.0000,67.0520,-5767.0520,-28.2815,True,-3058.7400,-15.0000,5,6985.5664,6311.5057,-674.0607
61,HC0-SS0,HC0,SS0,2025-03-10,2025-03-25,12,open_short,close_normal,short,1.9740,2.5613,0.2785,3352.0000,13475.0000,3383.0000,13370.0000,1,2,10,5,20192.4000,1360.0000,67.1600,1292.8400,6.4026,False,1292.8400,6.4026,12,6878.9752,6619.2149,-259.7603
62,HC0-SS0,HC0,SS0,2025-06-23,2025-08-04,31,open_long,close_timeout,long,2.0717,-2.2399,-1.4453,3109.0000,12405.0000,3420.0000,12910.0000,1,2,10,5,18616.8000,1940.0000,63.6880,1876.3120,10.0786,False,1876.3120,10.0786,31,5942.9079,5681.9028,-261.0052
63,RB0-SF0,RB0,SF0,2024-08-06,2024-08-08,3,open_short,close_normal,short,1.9479,2.5935,-0.0484,3309.0000,7014.0000,3251.0000,6512.0000,1,2,10,5,12387.6000,4440.0000,40.1720,4399.8280,35.5180,False,4399.8280,35.5180,3,580.2938,150.3732,-429.9206
64,RB0-SF0,RB0,SF0,2025-01-06,2025-01-21,12,open_short,close_normal,short,1.8987,2.3606,0.2310,3255.0000,6306.0000,3351.0000,6468.0000,1,2,10,5,11473.2000,-660.0000,38.7600,-698.7600,-6.0904,False,-698.7600,-6.0904,12,137.3028,10.7642,-126.5386
65,RB0-SF0,RB0,SF0,2025-05-29,2025-06-17,13,open_long,close_normal,long,1.8249,-2.5727,0.2723,2975.0000,5232.0000,2984.0000,5258.0000,3,5,10,5,26406.0000,380.0000,88.2040,291.7960,1.1050,False,291.7960,1.1050,13,-208.6419,-34.8301,173.8118
66,RB0-SF0,RB0,SF0,2025-07-25,2025-07-31,5,open_short,close_normal,short,1.7707,3.0536,0.2249,3359.0000,6160.0000,3202.0000,5702.0000,3,5,10,5,30572.4000,6740.0000,98.6760,6641.3240,21.7233,False,6641.3240,21.7233,5,223.4129,-12.2267,-235.6395
67,RB0-SF0,RB0,SF0,2025-08-07,2025-08-19,9,open_short,close_normal,short,1.7906,2.6264,0.0137,3234.0000,6018.0000,3123.0000,5684.0000,3,5,10,5,29696.4000,5020.0000,96.6520,4923.3480,16.5789,False,4923.3480,16.5789,9,238.7117,-8.2965,-247.0082
68,RB0-SM0,RB0,SM0,2024-12-10,2025-01-10,23,open_long,close_normal,long,1.5174,-2.3244,0.1940,3399.0000,6310.0000,3205.0000,6280.0000,2,3,10,5,19515.6000,3430.0000,64.1860,3365.8140,17.2468,False,3365.8140,17.2468,23,1141.7039,1280.2613,138.5575
69,RB0-SM0,RB0,SM0,2025-02-06,2025-03-20,31,open_short,close_timeout,short,1.6056,3.4952,-1.3939,3360.0000,7286.0000,3173.0000,6112.0000,3,5,10,5,33954.0000,23740.0000,106.1880,23633.8120,69.6054,False,23633.8120,69.6054,31,1902.0848,771.9192,-1130.1656
70,RB0-SS0,RB0,SS0,2024-10-31,2024-12-12,31,open_long,close_timeout,long,1.9112,-2.2582,-1.6773,3424.0000,13525.0000,3431.0000,13155.0000,1,2,10,5,20338.8000,-3770.0000,67.0700,-3837.0700,-18.8658,True,-3050.8200,-15.0000,5,6960.3490,6527.0297,-433.3193
71,RB0-SS0,RB0,SS0,2025-03-10,2025-04-22,31,open_short,close_timeout,short,1.9996,2.9263,-1.3022,3223.0000,13475.0000,3072.0000,12705.0000,1,2,10,5,20037.6000,6190.0000,64.9500,6125.0500,30.5678,False,6125.0500,30.5678,31,7051.3795,6422.3678,-629.0117
72,RB0-SS0,RB0,SS0,2025-07-11,2025-08-11,22,open_long,close_normal,long,2.1124,-2.2526,-0.0382,3130.0000,12725.0000,3253.0000,13210.0000,1,2,10,5,19026.0000,3620.0000,64.6360,3555.3640,18.6869,False,3555.3640,18.6869,22,6091.8124,6250.0271,158.2147
73,SF0-SM0,SF0,SM0,2024-07-29,2024-09-02,26,open_long,close_normal,long,1.0629,-2.4519,-0.2316,6796.0000,6958.0000,6238.0000,6282.0000,1,1,5,5,8252.4000,-590.0000,26.2740,-616.2740,-7.4678,False,-616.2740,-7.4678,26,-278.1441,-138.4141,139.7300
74,SF0-SM0,SF0,SM0,2024-11-06,2024-12-18,31,open_short,close_timeout,short,0.9886,2.3940,0.7166,6360.0000,6370.0000,6242.0000,6240.0000,1,1,5,5,7638.0000,60.0000,25.2120,34.7880,0.4555,False,34.7880,0.4555,31,94.4590,17.5441,-76.9148
75,SF0-SM0,SF0,SM0,2025-01-15,2025-02-11,14,open_short,close_normal,short,0.9888,3.3055,0.0605,6502.0000,6708.0000,6330.0000,6670.0000,1,1,5,5,7926.0000,-670.0000,26.2100,-696.2100,-8.7839,False,-696.2100,-8.7839,14,290.4842,91.7243,-198.7600
76,SF0-SM0,SF0,SM0,2025-05-22,2025-05-26,3,open_short,close_normal,short,1.0331,2.7171,-0.2109,5628.0000,5992.0000,5500.0000,5674.0000,1,1,5,5,6972.0000,950.0000,22.7940,927.2060,13.2990,False,927.2060,13.2990,3,190.1751,-20.1156,-210.2907
77,SF0-SM0,SF0,SM0,2025-06-06,2025-06-11,4,open_short,close_normal,short,1.0479,2.2102,0.2847,5110.0000,5532.0000,5178.0000,5492.0000,1,1,5,5,6385.2000,540.0000,21.3120,518.6880,8.1233,False,518.6880,8.1233,4,189.3509,29.8757,-159.4753
78,SF0-SM0,SF0,SM0,2025-07-22,2025-08-15,19,open_long,close_normal,long,1.0492,-2.7392,0.1406,5868.0000,6018.0000,5938.0000,6108.0000,1,1,5,5,7131.6000,100.0000,23.9320,76.0680,1.0666,False,76.0680,1.0666,19,-151.1295,14.0451,165.1747
79,SF0-SS0,SF0,SS0,2024-08-02,2024-08-09,6,open_long,close_normal,long,1.7489,-2.2780,0.0995,6916.0000,14130.0000,6546.0000,13805.0000,3,5,5,5,54838.8000,-2575.0000,180.0610,-2755.0610,-5.0239,False,-2755.0610,-5.0239,6,2009.2232,2311.4888,302.2656
80,SF0-SS0,SF0,SS0,2024-09-27,2024-11-15,31,open_long,close_timeout,long,1.8419,-2.8997,-1.3506,6424.0000,13490.0000,6268.0000,13250.0000,1,2,5,5,20042.4000,-1620.0000,66.1720,-1686.1720,-8.4130,False,-1686.1720,-8.4130,31,1631.4614,1313.9938,-317.4676
81,SF0-SS0,SF0,SS0,2024-12-02,2025-01-14,31,open_long,close_timeout,long,1.9271,-2.2398,-1.3593,6432.0000,12985.0000,6414.0000,13170.0000,1,2,5,5,19441.2000,1940.0000,65.1560,1874.8440,9.6437,False,1874.8440,9.6437,31,563.3053,518.3271,-44.9781
82,SF0-SS0,SF0,SS0,2025-03-10,2025-04-07,20,open_short,close_normal,short,2.0440,2.7148,-0.2715,6028.0000,13475.0000,5802.0000,12925.0000,1,2,5,5,19786.8000,4370.0000,64.6300,4305.3700,21.7588,False,4305.3700,21.7588,20,1181.1005,682.3846,-498.7159
83,SF0-SS0,SF0,SS0,2025-06-03,2025-07-15,31,open_short,close_timeout,short,2.2006,2.5149,-1.9569,5086.0000,12640.0000,5488.0000,12690.0000,3,7,5,5,62242.8000,4280.0000,209.0320,4070.9680,6.5405,False,4070.9680,6.5405,31,1476.1348,205.7719,-1270.3630
84,SF0-SS0,SF0,SS0,2025-07-21,2025-08-20,23,open_long,close_normal,long,2.2733,-2.2487,-0.2315,5662.0000,12920.0000,5628.0000,12805.0000,3,7,5,5,64455.6000,-3515.0000,213.9450,-3728.9450,-5.7853,False,-3728.9450,-5.7853,23,20.1534,208.1088,187.9554
85,SM0-SS0,SM0,SS0,2024-07-30,2024-09-10,31,open_short,close_timeout,short,2.0130,2.2440,0.9609,6778.0000,13890.0000,6034.0000,13250.0000,1,2,5,5,20734.8000,2680.0000,67.0920,2612.9080,12.6016,False,2612.9080,12.6016,31,272.6639,895.5492,622.8853
86,SM0-SS0,SM0,SS0,2024-10-31,2024-12-12,31,open_long,close_timeout,long,2.0914,-2.6356,-0.8950,6392.0000,13525.0000,6334.0000,13155.0000,1,2,5,5,20065.2000,-3410.0000,66.0860,-3476.0860,-17.3240,True,-3009.7800,-15.0000,5,128.9663,-40.7464,-169.7128
87,SM0-SS0,SM0,SS0,2025-01-15,2025-02-18,19,open_long,close_normal,long,2.0910,-3.2084,0.2467,6708.0000,13180.0000,6482.0000,13050.0000,1,2,5,5,19840.8000,-170.0000,65.6500,-235.6500,-1.1877,False,-235.6500,-1.1877,19,-874.1070,-108.8377,765.2693
88,SM0-SS0,SM0,SS0,2025-05-22,2025-05-23,2,open_long,close_normal,long,2.1624,-2.5744,0.2812,5992.0000,12895.0000,5724.0000,12860.0000,1,2,5,5,19069.2000,990.0000,63.2260,926.7740,4.8601,False,926.7740,4.8601,2,-89.8463,494.1494,583.9958
89,SM0-SS0,SM0,SS0,2025-06-23,2025-08-04,31,open_long,close_timeout,long,2.2146,-2.2981,-0.7183,5604.0000,12405.0000,5978.0000,12910.0000,3,7,5,5,62188.2000,12065.0000,211.9510,11853.0490,19.0600,False,11853.0490,19.0600,31,-33.7014,-116.0270,-82.3256
