交易ID,配对,品种X,品种Y,入场日期,出场日期,持仓天数,入场动作,退出动作,信号类型,Beta系数,入场Z_Score,出场Z_Score,入场价格_X,入场价格_Y,出场价格_X,出场价格_Y,价格变动_X,价格变动_Y,价格变动率_X%,价格变动率_Y%,手数_X,手数_Y,合约乘数_X,合约乘数_Y,保证金,保证金率%,入场价差,出场价差,价差变动,毛盈亏,手续费,原始净盈亏,原始收益率%,触发止损,止损后净盈亏,止损后收益率%,止损保护金额,实际持仓天数,最终净盈亏,最终收益率%,入场月份,出场月份
44,CU0-ZN0,CU0,ZN0,2025-04-07,2025-04-08,1,open_short,close_normal,short,0.3020,4.0060,0.0505,73670.0000,22610.0000,73330.0000,22100.0000,-340.0000,-510.0000,-0.4615,-2.2556,7,2,5,5,336546.0000,12.0000,383.4587,-32.5327,-415.9914,-6800.0000,1118.4200,-7918.4200,-2.3528,False,-7918.4200,-2.3528,0.0000,1,-7918.4200,-2.3528,2025-04,2025-04
45,CU0-ZN0,CU0,ZN0,2025-07-09,2025-07-14,3,open_short,close_normal,short,0.2807,2.2059,-0.2630,78430.0000,22105.0000,78370.0000,22265.0000,-60.0000,160.0000,-0.0765,0.7238,7,2,5,5,355932.0000,12.0000,112.2574,-23.7763,-136.0338,-3700.0000,1186.3400,-4886.3400,-1.3728,False,-4886.3400,-1.3728,0.0000,3,-4886.3400,-1.3728,2025-07,2025-07
46,PB0-SS0,PB0,SS0,2024-08-06,2024-09-19,30,open_long,close_timeout,long,-0.2973,-2.3345,-1.5520,17200.0000,13915.0000,16555.0000,13445.0000,-645.0000,-470.0000,-3.7500,-3.3777,7,2,5,5,88938.0000,12.0000,19018.5390,17766.2855,-1252.2535,-27275.0000,291.0050,-27566.0050,-30.9946,True,-13340.7000,-15.0000,14225.3050,9,-13340.7000,-15.0000,2024-08,2024-09
47,PB0-SS0,PB0,SS0,2025-04-07,2025-05-22,30,open_long,close_timeout,long,-0.0282,-2.8782,-1.1901,16645.0000,12925.0000,16700.0000,12865.0000,55.0000,-60.0000,0.3304,-0.4642,1,1,5,5,17742.0000,12.0000,13379.2867,12824.4572,-554.8295,-25.0000,59.1350,-84.1350,-0.4742,False,-84.1350,-0.4742,0.0000,30,-84.1350,-0.4742,2025-04,2025-05
48,ZN0-SF0,ZN0,SF0,2024-08-05,2024-08-27,16,open_short,close_normal,short,0.3048,3.0576,0.1688,22165.0000,6986.0000,23980.0000,6400.0000,1815.0000,-586.0000,8.1886,-8.3882,7,2,5,5,101476.2000,12.0000,240.5794,-5.8392,-246.4186,69385.0000,349.7870,69035.2130,68.0309,False,69035.2130,68.0309,0.0000,16,69035.2130,68.0309,2024-08,2024-08
49,ZN0-SF0,ZN0,SF0,2024-09-30,2024-10-08,1,open_short,close_normal,short,0.2622,2.3281,0.2105,25135.0000,6788.0000,25270.0000,6638.0000,135.0000,-150.0000,0.5371,-2.2098,4,1,5,5,64396.8000,12.0000,207.7510,1.4931,-206.2579,3450.0000,215.0460,3234.9540,5.0235,False,3234.9540,5.0235,0.0000,1,3234.9540,5.0235,2024-09,2024-10
50,ZN0-SF0,ZN0,SF0,2024-10-25,2024-10-31,4,open_short,close_normal,short,0.2546,2.3079,0.1514,25045.0000,6578.0000,25260.0000,6566.0000,215.0000,-12.0000,0.8585,-0.1824,4,1,5,5,64054.8000,12.0000,210.9621,-10.4396,-221.4017,4360.0000,214.3640,4145.6360,6.4720,False,4145.6360,6.4720,0.0000,4,4145.6360,6.4720,2024-10,2024-10
51,ZN0-SF0,ZN0,SF0,2025-01-15,2025-01-21,4,open_short,close_normal,short,0.2696,2.2776,-0.0836,23610.0000,6490.0000,24185.0000,6468.0000,575.0000,-22.0000,2.4354,-0.3390,7,2,5,5,106950.0000,12.0000,134.8634,-0.9892,-135.8527,20345.0000,360.4810,19984.5190,18.6859,False,19984.5190,18.6859,0.0000,4,19984.5190,18.6859,2025-01,2025-01
52,ZN0-SF0,ZN0,SF0,2025-04-08,2025-04-16,6,open_short,close_normal,short,0.2610,2.5445,-0.1653,22100.0000,5860.0000,21905.0000,5692.0000,-195.0000,-168.0000,-0.8824,-2.8669,4,1,5,5,56556.0000,12.0000,102.2014,-7.4640,-109.6654,-3060.0000,187.5720,-3247.5720,-5.7422,False,-3247.5720,-5.7422,0.0000,6,-3247.5720,-5.7422,2025-04,2025-04
53,ZN0-SF0,ZN0,SF0,2025-05-29,2025-06-06,5,open_long,close_normal,long,0.2378,-3.4235,-0.1822,22480.0000,5232.0000,22400.0000,5098.0000,-80.0000,-134.0000,-0.3559,-2.5612,4,1,5,5,57091.2000,12.0000,-122.3680,-14.1258,108.2422,930.0000,189.8500,740.1500,1.2964,False,740.1500,1.2964,0.0000,5,740.1500,1.2964,2025-05,2025-06
54,ZN0-SF0,ZN0,SF0,2025-06-09,2025-06-11,2,open_short,close_normal,short,0.2327,2.2919,-0.0623,21925.0000,5168.0000,22125.0000,5190.0000,200.0000,22.0000,0.9122,0.4257,4,1,5,5,55720.8000,12.0000,75.9292,-7.4728,-83.4020,3890.0000,186.5580,3703.4420,6.6464,False,3703.4420,6.6464,0.0000,2,3703.4420,6.6464,2025-06,2025-06
55,ZN0-SF0,ZN0,SF0,2025-07-22,2025-07-30,6,open_short,close_normal,short,0.2524,2.3913,-0.0653,22960.0000,5868.0000,22655.0000,6014.0000,-305.0000,146.0000,-1.3284,2.4881,4,1,5,5,58624.8000,12.0000,82.1597,2.6704,-79.4893,-6830.0000,194.3420,-7024.3420,-11.9819,False,-7024.3420,-11.9819,0.0000,6,-7024.3420,-11.9819,2025-07,2025-07
56,ZN0-SF0,ZN0,SF0,2025-07-31,2025-08-05,3,open_long,close_normal,long,0.2600,-2.5734,-0.2369,22330.0000,5702.0000,22395.0000,5710.0000,65.0000,8.0000,0.2911,0.1403,4,1,5,5,57013.2000,12.0000,-114.1691,-9.9350,104.2341,-1260.0000,190.3120,-1450.3120,-2.5438,False,-1450.3120,-2.5438,0.0000,3,-1450.3120,-2.5438,2025-07,2025-08
57,HC0-SM0,HC0,SM0,2024-12-26,2025-02-17,30,open_long,close_timeout,long,1.4768,-2.2967,-1.0064,3425.0000,6116.0000,3409.0000,6392.0000,-16.0000,276.0000,-0.4672,4.5128,2,3,10,5,19228.8000,12.0000,1047.6483,1077.2756,29.6273,4460.0000,64.8600,4395.1400,22.8571,False,4395.1400,22.8571,0.0000,30,4395.1400,22.8571,2024-12,2025-02
58,HC0-SM0,HC0,SM0,2025-07-22,2025-08-14,17,open_long,close_normal,long,1.7341,-2.3197,-0.2048,3474.0000,6018.0000,3435.0000,6138.0000,-39.0000,120.0000,-1.1226,1.9940,3,5,10,5,30560.4000,12.0000,-17.3235,159.5720,176.8955,4170.0000,102.2340,4067.7660,13.3106,False,4067.7660,13.3106,0.0000,17,4067.7660,13.3106,2025-07,2025-08
59,HC0-SS0,HC0,SS0,2024-07-31,2024-09-02,23,open_short,close_normal,short,1.8347,2.3783,-0.0037,3482.0000,14065.0000,3282.0000,13570.0000,-200.0000,-495.0000,-5.7438,-3.5194,1,2,10,5,21056.4000,12.0000,7697.0625,7472.4504,-224.6121,2950.0000,68.7980,2881.2020,13.6833,False,2881.2020,13.6833,0.0000,23,2881.2020,13.6833,2024-07,2024-09
60,HC0-SS0,HC0,SS0,2024-10-23,2024-12-04,30,open_long,close_timeout,long,1.8756,-2.2127,-1.9794,3473.0000,13520.0000,3528.0000,13005.0000,55.0000,-515.0000,1.5836,-3.8092,1,2,10,5,20391.6000,12.0000,6985.5664,6311.5057,-674.0607,-5700.0000,67.0520,-5767.0520,-28.2815,True,-3058.7400,-15.0000,2708.3120,9,-3058.7400,-15.0000,2024-10,2024-12
61,HC0-SS0,HC0,SS0,2025-03-10,2025-03-25,11,open_short,close_normal,short,1.9740,2.5613,0.2785,3352.0000,13475.0000,3383.0000,13370.0000,31.0000,-105.0000,0.9248,-0.7792,1,2,10,5,20192.4000,12.0000,6878.9752,6619.2149,-259.7603,1360.0000,67.1600,1292.8400,6.4026,False,1292.8400,6.4026,0.0000,11,1292.8400,6.4026,2025-03,2025-03
62,HC0-SS0,HC0,SS0,2025-06-23,2025-08-04,30,open_long,close_timeout,long,2.0717,-2.2399,-1.4453,3109.0000,12405.0000,3420.0000,12910.0000,311.0000,505.0000,10.0032,4.0709,1,2,10,5,18616.8000,12.0000,5942.9079,5681.9028,-261.0052,1940.0000,63.6880,1876.3120,10.0786,False,1876.3120,10.0786,0.0000,30,1876.3120,10.0786,2025-06,2025-08
63,RB0-SF0,RB0,SF0,2024-08-06,2024-08-08,2,open_short,close_normal,short,1.9479,2.5935,-0.0484,3309.0000,7014.0000,3251.0000,6512.0000,-58.0000,-502.0000,-1.7528,-7.1571,1,2,10,5,12387.6000,12.0000,580.2938,150.3732,-429.9206,4440.0000,40.1720,4399.8280,35.5180,False,4399.8280,35.5180,0.0000,2,4399.8280,35.5180,2024-08,2024-08
64,RB0-SF0,RB0,SF0,2025-01-06,2025-01-21,11,open_short,close_normal,short,1.8987,2.3606,0.2310,3255.0000,6306.0000,3351.0000,6468.0000,96.0000,162.0000,2.9493,2.5690,1,2,10,5,11473.2000,12.0000,137.3028,10.7642,-126.5386,-660.0000,38.7600,-698.7600,-6.0904,False,-698.7600,-6.0904,0.0000,11,-698.7600,-6.0904,2025-01,2025-01
65,RB0-SF0,RB0,SF0,2025-05-29,2025-06-17,12,open_long,close_normal,long,1.8249,-2.5727,0.2723,2975.0000,5232.0000,2984.0000,5258.0000,9.0000,26.0000,0.3025,0.4969,3,5,10,5,26406.0000,12.0000,-208.6419,-34.8301,173.8118,380.0000,88.2040,291.7960,1.1050,False,291.7960,1.1050,0.0000,12,291.7960,1.1050,2025-05,2025-06
66,RB0-SF0,RB0,SF0,2025-07-25,2025-07-31,4,open_short,close_normal,short,1.7707,3.0536,0.2249,3359.0000,6160.0000,3202.0000,5702.0000,-157.0000,-458.0000,-4.6740,-7.4351,3,5,10,5,30572.4000,12.0000,223.4129,-12.2267,-235.6395,6740.0000,98.6760,6641.3240,21.7233,False,6641.3240,21.7233,0.0000,4,6641.3240,21.7233,2025-07,2025-07
67,RB0-SF0,RB0,SF0,2025-08-07,2025-08-19,8,open_short,close_normal,short,1.7906,2.6264,0.0137,3234.0000,6018.0000,3123.0000,5684.0000,-111.0000,-334.0000,-3.4323,-5.5500,3,5,10,5,29696.4000,12.0000,238.7117,-8.2965,-247.0082,5020.0000,96.6520,4923.3480,16.5789,False,4923.3480,16.5789,0.0000,8,4923.3480,16.5789,2025-08,2025-08
68,RB0-SM0,RB0,SM0,2024-12-10,2025-01-10,22,open_long,close_normal,long,1.5174,-2.3244,0.1940,3399.0000,6310.0000,3205.0000,6280.0000,-194.0000,-30.0000,-5.7076,-0.4754,2,3,10,5,19515.6000,12.0000,1141.7039,1280.2613,138.5575,3430.0000,64.1860,3365.8140,17.2468,False,3365.8140,17.2468,0.0000,22,3365.8140,17.2468,2024-12,2025-01
69,RB0-SM0,RB0,SM0,2025-02-06,2025-03-20,30,open_short,close_timeout,short,1.6056,3.4952,-1.3939,3360.0000,7286.0000,3173.0000,6112.0000,-187.0000,-1174.0000,-5.5655,-16.1131,3,5,10,5,33954.0000,12.0000,1902.0848,771.9192,-1130.1656,23740.0000,106.1880,23633.8120,69.6054,False,23633.8120,69.6054,0.0000,30,23633.8120,69.6054,2025-02,2025-03
70,RB0-SS0,RB0,SS0,2024-10-31,2024-12-12,30,open_long,close_timeout,long,1.9112,-2.2582,-1.6773,3424.0000,13525.0000,3431.0000,13155.0000,7.0000,-370.0000,0.2044,-2.7357,1,2,10,5,20338.8000,12.0000,6960.3490,6527.0297,-433.3193,-3770.0000,67.0700,-3837.0700,-18.8658,True,-3050.8200,-15.0000,786.2500,9,-3050.8200,-15.0000,2024-10,2024-12
71,RB0-SS0,RB0,SS0,2025-03-10,2025-04-22,30,open_short,close_timeout,short,1.9996,2.9263,-1.3022,3223.0000,13475.0000,3072.0000,12705.0000,-151.0000,-770.0000,-4.6851,-5.7143,1,2,10,5,20037.6000,12.0000,7051.3795,6422.3678,-629.0117,6190.0000,64.9500,6125.0500,30.5678,False,6125.0500,30.5678,0.0000,30,6125.0500,30.5678,2025-03,2025-04
72,RB0-SS0,RB0,SS0,2025-07-11,2025-08-11,21,open_long,close_normal,long,2.1124,-2.2526,-0.0382,3130.0000,12725.0000,3253.0000,13210.0000,123.0000,485.0000,3.9297,3.8114,1,2,10,5,19026.0000,12.0000,6091.8124,6250.0271,158.2147,3620.0000,64.6360,3555.3640,18.6869,False,3555.3640,18.6869,0.0000,21,3555.3640,18.6869,2025-07,2025-08
73,SF0-SM0,SF0,SM0,2024-07-29,2024-09-02,25,open_long,close_normal,long,1.0629,-2.4519,-0.2316,6796.0000,6958.0000,6238.0000,6282.0000,-558.0000,-676.0000,-8.2107,-9.7154,1,1,5,5,8252.4000,12.0000,-278.1441,-138.4141,139.7300,-590.0000,26.2740,-616.2740,-7.4678,False,-616.2740,-7.4678,0.0000,25,-616.2740,-7.4678,2024-07,2024-09
74,SF0-SM0,SF0,SM0,2024-11-06,2024-12-18,30,open_short,close_timeout,short,0.9886,2.3940,0.7166,6360.0000,6370.0000,6242.0000,6240.0000,-118.0000,-130.0000,-1.8553,-2.0408,1,1,5,5,7638.0000,12.0000,94.4590,17.5441,-76.9148,60.0000,25.2120,34.7880,0.4555,False,34.7880,0.4555,0.0000,30,34.7880,0.4555,2024-11,2024-12
75,SF0-SM0,SF0,SM0,2025-01-15,2025-02-11,13,open_short,close_normal,short,0.9888,3.3055,0.0605,6502.0000,6708.0000,6330.0000,6670.0000,-172.0000,-38.0000,-2.6453,-0.5665,1,1,5,5,7926.0000,12.0000,290.4842,91.7243,-198.7600,-670.0000,26.2100,-696.2100,-8.7839,False,-696.2100,-8.7839,0.0000,13,-696.2100,-8.7839,2025-01,2025-02
76,SF0-SM0,SF0,SM0,2025-05-22,2025-05-26,2,open_short,close_normal,short,1.0331,2.7171,-0.2109,5628.0000,5992.0000,5500.0000,5674.0000,-128.0000,-318.0000,-2.2743,-5.3071,1,1,5,5,6972.0000,12.0000,190.1751,-20.1156,-210.2907,950.0000,22.7940,927.2060,13.2990,False,927.2060,13.2990,0.0000,2,927.2060,13.2990,2025-05,2025-05
77,SF0-SM0,SF0,SM0,2025-06-06,2025-06-11,3,open_short,close_normal,short,1.0479,2.2102,0.2847,5110.0000,5532.0000,5178.0000,5492.0000,68.0000,-40.0000,1.3307,-0.7231,1,1,5,5,6385.2000,12.0000,189.3509,29.8757,-159.4753,540.0000,21.3120,518.6880,8.1233,False,518.6880,8.1233,0.0000,3,518.6880,8.1233,2025-06,2025-06
78,SF0-SM0,SF0,SM0,2025-07-22,2025-08-15,18,open_long,close_normal,long,1.0492,-2.7392,0.1406,5868.0000,6018.0000,5938.0000,6108.0000,70.0000,90.0000,1.1929,1.4955,1,1,5,5,7131.6000,12.0000,-151.1295,14.0451,165.1747,100.0000,23.9320,76.0680,1.0666,False,76.0680,1.0666,0.0000,18,76.0680,1.0666,2025-07,2025-08
79,SF0-SS0,SF0,SS0,2024-08-02,2024-08-09,5,open_long,close_normal,long,1.7489,-2.2780,0.0995,6916.0000,14130.0000,6546.0000,13805.0000,-370.0000,-325.0000,-5.3499,-2.3001,3,5,5,5,54838.8000,12.0000,2009.2232,2311.4888,302.2656,-2575.0000,180.0610,-2755.0610,-5.0239,False,-2755.0610,-5.0239,0.0000,5,-2755.0610,-5.0239,2024-08,2024-08
80,SF0-SS0,SF0,SS0,2024-09-27,2024-11-15,30,open_long,close_timeout,long,1.8419,-2.8997,-1.3506,6424.0000,13490.0000,6268.0000,13250.0000,-156.0000,-240.0000,-2.4284,-1.7791,1,2,5,5,20042.4000,12.0000,1631.4614,1313.9938,-317.4676,-1620.0000,66.1720,-1686.1720,-8.4130,False,-1686.1720,-8.4130,0.0000,30,-1686.1720,-8.4130,2024-09,2024-11
81,SF0-SS0,SF0,SS0,2024-12-02,2025-01-14,30,open_long,close_timeout,long,1.9271,-2.2398,-1.3593,6432.0000,12985.0000,6414.0000,13170.0000,-18.0000,185.0000,-0.2799,1.4247,1,2,5,5,19441.2000,12.0000,563.3053,518.3271,-44.9781,1940.0000,65.1560,1874.8440,9.6437,False,1874.8440,9.6437,0.0000,30,1874.8440,9.6437,2024-12,2025-01
82,SF0-SS0,SF0,SS0,2025-03-10,2025-04-07,19,open_short,close_normal,short,2.0440,2.7148,-0.2715,6028.0000,13475.0000,5802.0000,12925.0000,-226.0000,-550.0000,-3.7492,-4.0816,1,2,5,5,19786.8000,12.0000,1181.1005,682.3846,-498.7159,4370.0000,64.6300,4305.3700,21.7588,False,4305.3700,21.7588,0.0000,19,4305.3700,21.7588,2025-03,2025-04
83,SF0-SS0,SF0,SS0,2025-06-03,2025-07-15,30,open_short,close_timeout,short,2.2006,2.5149,-1.9569,5086.0000,12640.0000,5488.0000,12690.0000,402.0000,50.0000,7.9041,0.3956,3,7,5,5,62242.8000,12.0000,1476.1348,205.7719,-1270.3630,4280.0000,209.0320,4070.9680,6.5405,False,4070.9680,6.5405,0.0000,30,4070.9680,6.5405,2025-06,2025-07
84,SF0-SS0,SF0,SS0,2025-07-21,2025-08-20,22,open_long,close_normal,long,2.2733,-2.2487,-0.2315,5662.0000,12920.0000,5628.0000,12805.0000,-34.0000,-115.0000,-0.6005,-0.8901,3,7,5,5,64455.6000,12.0000,20.1534,208.1088,187.9554,-3515.0000,213.9450,-3728.9450,-5.7853,False,-3728.9450,-5.7853,0.0000,22,-3728.9450,-5.7853,2025-07,2025-08
85,SM0-SS0,SM0,SS0,2024-07-30,2024-09-10,30,open_short,close_timeout,short,2.0130,2.2440,0.9609,6778.0000,13890.0000,6034.0000,13250.0000,-744.0000,-640.0000,-10.9767,-4.6076,1,2,5,5,20734.8000,12.0000,272.6639,895.5492,622.8853,2680.0000,67.0920,2612.9080,12.6016,False,2612.9080,12.6016,0.0000,30,2612.9080,12.6016,2024-07,2024-09
86,SM0-SS0,SM0,SS0,2024-10-31,2024-12-12,30,open_long,close_timeout,long,2.0914,-2.6356,-0.8950,6392.0000,13525.0000,6334.0000,13155.0000,-58.0000,-370.0000,-0.9074,-2.7357,1,2,5,5,20065.2000,12.0000,128.9663,-40.7464,-169.7128,-3410.0000,66.0860,-3476.0860,-17.3240,True,-3009.7800,-15.0000,466.3060,9,-3009.7800,-15.0000,2024-10,2024-12
87,SM0-SS0,SM0,SS0,2025-01-15,2025-02-18,18,open_long,close_normal,long,2.0910,-3.2084,0.2467,6708.0000,13180.0000,6482.0000,13050.0000,-226.0000,-130.0000,-3.3691,-0.9863,1,2,5,5,19840.8000,12.0000,-874.1070,-108.8377,765.2693,-170.0000,65.6500,-235.6500,-1.1877,False,-235.6500,-1.1877,0.0000,18,-235.6500,-1.1877,2025-01,2025-02
88,SM0-SS0,SM0,SS0,2025-05-22,2025-05-23,1,open_long,close_normal,long,2.1624,-2.5744,0.2812,5992.0000,12895.0000,5724.0000,12860.0000,-268.0000,-35.0000,-4.4726,-0.2714,1,2,5,5,19069.2000,12.0000,-89.8463,494.1494,583.9958,990.0000,63.2260,926.7740,4.8601,False,926.7740,4.8601,0.0000,1,926.7740,4.8601,2025-05,2025-05
89,SM0-SS0,SM0,SS0,2025-06-23,2025-08-04,30,open_long,close_timeout,long,2.2146,-2.2981,-0.7183,5604.0000,12405.0000,5978.0000,12910.0000,374.0000,505.0000,6.6738,4.0709,3,7,5,5,62188.2000,12.0000,-33.7014,-116.0270,-82.3256,12065.0000,211.9510,11853.0490,19.0600,False,11853.0490,19.0600,0.0000,30,11853.0490,19.0600,2025-06,2025-08
